Settlement Main,Settlement Alt,Area (alt-map resource sheet),Sub-Area (alt-map resource sheet),Region Code Main,Region Code Alt,Official Area,Resource Sheet Area,order,Comment,Landscape,Climates,offset,Fertility,Port level,Riverport,Irrigation,Earthquakes (not used yet),complete,Hidden resources,comment,rss done,,,,Item,Hidden resource
,Libarna,Italy,North Italy,,Dectuninia,Cisalpine Gaul,Cisalpine Gaul,6,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Veleia,,,,Ilvatia,,Cisalpine Gaul,,6,Missing in Alt,Mountain Valley,Temperate,2,9,No port,Yes,River,No,OK,"Farm9, mountain_valley, temperate, rivertrade, irrigation_river",,,,,,,
Aegitna,Aegitna,Italy,North Italy,Oxybia,Oxybia,Cisalpine Gaul,Alps,7,Wrong Area,Hills,Mediterranean,1,7,Trade Port,Yes,River,No,OK,"Farm7, hills, mediterranean, base_port_level_1, rivertrade, irrigation_river",,,,,,,
CISALPINE GAUL,,,,,,,,,,,,,,,,,,,,,,,,,,
Bononia,Bononia,Italy,North Italy,Boiaea,Boiaea,Cisalpine Gaul,Cisalpine Gaul,6,,River Valley,Humid Sub-tropical,1,11,Shipwright,Yes,River,No,OK,"Farm11, river_valley, humid_sub_tropical, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Mediolanum,Mediolanum,Italy,North Italy,Insubria,Insubria,Cisalpine Gaul,Cisalpine Gaul,6,,Floodplains/Delta,Humid Sub-tropical,0,12,No port,Yes,River,No,OK,"Farm12, floodplains_delta, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
Patavium,Patavium,Italy,North Italy,Venetia,Venetia,Cisalpine Gaul,Cisalpine Gaul,6,,River Valley,Humid Sub-tropical,1,11,Trade Port,Yes,River,No,OK,"Farm11, river_valley, humid_sub_tropical, base_port_level_1, rivertrade, irrigation_river",,,,,,,
Brixia,Brixia,Italy,North Italy,Cenomania,Cenomania,Cisalpine Gaul,Cisalpine Gaul,6,,Mountain Valley,Humid Sub-tropical,0,7,No port,Yes,River,No,OK,"Farm7, mountain_valley, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
Friniatium,,,,Friniatia,,Cisalpine Gaul,Cisalpine Gaul,,Missing in Alt,Mountains,Continental,0,4,No port,No,Springs,Yes,OK,"Farm4, mountains, continental, irrigation_springs",,,,,,,
Taurasia,Taurasia,Italy,North Italy,Taurinia,Taurinia,Cisalpine Gaul,Cisalpine Gaul,6,,River Valley,Humid Sub-tropical,-1,9,No port,Yes,River,No,OK,"Farm9, river_valley, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
Acerrae,Acerrae,Italy,North Italy,Adduaea,Adduaea,Cisalpine Gaul,Cisalpine Gaul,6,,Floodplains/Delta,Humid Sub-tropical,0,12,No port,Yes,River,No,OK,"Farm12, floodplains_delta, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
Verona,Verona,Italy,North Italy,Athesia,Athesia,Cisalpine Gaul,Cisalpine Gaul,6,,Mountain Valley,Humid Sub-tropical,1,8,No port,Yes,River,No,OK,"Farm8, mountain_valley, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
Mutina,Mutina,Italy,North Italy,Gabellia,Gabellia,Cisalpine Gaul,Cisalpine Gaul,6,,River Valley,Humid Sub-tropical,1,11,No port,Yes,River,No,OK,"Farm11, river_valley, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
Atria,,,,Septem_Maria,,Cisalpine Gaul,,6,Missing in Alt,Wetlands/Swamps/Marshes,Humid Sub-tropical,1,7,Trade Port,Yes,River,No,OK,"Farm7, wetlands, humid_sub_tropical, base_port_level_1, rivertrade, irrigation_river",,,,,,,
Ateste,,,,Venetia_Occidentalis,,Cisalpine Gaul,,6,Missing in Alt,River Valley,Humid Sub-tropical,-1,9,No port,Yes,River,No,OK,"Farm9, river_valley, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
Altinum,Altinum,Italy,North Italy,Venetia_Orientalis,Venetia_Orientalis,Cisalpine Gaul,Cisalpine Gaul,6,,River Valley,Humid Sub-tropical,-1,9,Shipwright,no,No,No,OK,"Farm9, river_valley, humid_sub_tropical, base_port_level_2",,,,,,,
,Opitergium,Italy,North Italy,,Venetia_Transplaviana,Cisalpine Gaul,Cisalpine Gaul,6,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Spina,,,,Lingonia_Cisalpina,,Cisalpine Gaul,,6,Missing in Alt,Wetlands/Swamps/Marshes,Humid Sub-tropical,-1,5,Trade Port,No,River,No,OK,"Farm5, wetlands, humid_sub_tropical, base_port_level_1, irrigation_river",,,,,,,
Clastidium,,,,Maricia-Laevia,,Cisalpine Gaul,,6,Missing in Alt,River Valley,Mediterranean,1,11,No port,Yes,River,No,OK,"Farm11, river_valley, mediterranean, rivertrade, irrigation_river",,,,,,,
Mantua,Mantua,Italy,North Italy,Mincia,Mincia,Cisalpine Gaul,Cisalpine Gaul,6,,Wetlands/Swamps/Marshes,Humid Sub-tropical,1,7,No port,Yes,River,No,OK,"Farm7, wetlands, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
ALPS-GAUL,,,,,,,,,,,,,,,,,,,,,,,,,,
Segusio,Segusio,Germania,Switzerland,Segusinia,Segusinia,Alps,Alps,7,,Mountains,Alpine,1,3,No port,No,Springs,No,OK,"Farm3, mountains, alpine, irrigation_springs",,,,,,,
Comum,Comum,Italy,North Italy,Orobia,Orobia,Alps,Alps,7,,Mountain Valley,Continental,-1,5,No port,Yes,Lake,No,OK,"Farm5, mountain_valley, continental, rivertrade, irrigation_lake",,,,,,,
Salassium,Salassium,Germania,Switzerland,Salassia,Salassia,Alps,Alps,7,,Mountains,Alpine,1,3,No port,No,River,No,OK,"Farm3, mountains, alpine, irrigation_river",,,,,,,
Eporedia,Eporedia,Germania,Switzerland,Salassia_Meridionalis,Salassia_Meridionalis,Alps,Alps,7,,Mountain Valley,Temperate,-1,6,No port,No,River,No,OK,"Farm6, mountain_valley, temperate, irrigation_river",,,,,,,
ALPS-RHAETIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Damasia,,,,Licatia,,Alps,,7,Missing in Alt,Mountain Valley,Continental,-1,5,No port,No,River,No,OK,"Farm5, mountain_valley, continental, irrigation_river",,,,,,,
Cambodunum,Cambodunum,Gaul,Lower Germania,Estionia,Estionia,Alps,Gaul,5,Wrong Area,Forest,Continental,0,5,No port,No,River,No,OK,"Farm5, forest, continental, irrigation_river",,,,,,,
Veldidena,Veldidena,Gaul,Lower Germania,Breunia,Breunia,Alps,Gaul,5,Wrong Area,Mountains,Continental,1,5,No port,No,River,Yes,OK,"Farm5, mountains, continental, irrigation_river",,,,,,,
Rucinatium,Rucinatium,Germania,Lower Germania,Rucinatea,Rucinatea,Alps,Germania,9,Wrong Area,Forest,Continental,1,6,No port,Yes,River,No,OK,"Farm6, forest, continental, rivertrade, irrigation_river",,,,,,,
Brigantium-Alpes,Brigantium-Alpes,Germania,Switzerland,Brigantiaea,Brigantiaea,Alps,Alps,7,,Karst Terrain,Continental,1,4,No port,Yes,Lake,Yes,,"Farm4, karst_terrain, continental, rivertrade, irrigation_lake",wait on gaul,,,,,,
Isarcium-Brixentium,Isarcium-Brixentium,Germania,Lower Germania,Isarcia-Brixentia,Isarcia-Brixentia,Alps,Alps,7,,Mountains,Alpine,0,2,No port,No,Springs,No,OK,"Farm2, mountains, alpine, irrigation_springs",,,,,,,
Sorviodurum,Sorviodurum,Germania,Lower Germania,Cosuanetia,Cosuanetia_Septentrionalis,Alps,Germania,9,Name Change,Forest,Continental,1,6,No port,Yes,River,No,OK,"Farm6, forest, continental, rivertrade, irrigation_river",,,,,,,
,Feltria,Italy,North Italy,,Plavia,Alps,Cisalpine Gaul,6,Not in Main Map,,,,,,,,,,,,,,,,,
Oscela,Oscela,Germania,Switzerland,Lepontia,Lepontia,Alps,Alps,7,,Mountains,Alpine,1,3,No port,No,Lake,No,OK,"Farm3, mountains, alpine, irrigation_lake",,,,,,,
Boiodurum,Boiodurum,Germania,Lower Germania,Boihaemum_Meridionale,Boihaemum_Aenicum,Alps,Germania,9,Name Change,Hills,Continental,1,6,No port,Yes,River,No,OK,"Farm6, hills, continental, rivertrade, irrigation_river",,,,,,,
Vennonium,Vennonium,Germania,Lower Germania,Vennonia,Vennonia,Alps,Alps,7,,Mountains,Alpine,0,2,No port,No,Springs,No,OK,"Farm2, mountains, alpine, irrigation_springs",,,,,,,
Catenatium,Catenatium,Germania,Lower Germania,Catenatia,Catenatia,Alps,Germania,9,Wrong Area,Forest,Continental,0,5,No port,No,River,No,OK,"Farm5, forest, continental, irrigation_river",,,,,,,
Camunnium,Camunnium,Germania,Lower Germania,Cammunia-Venostia,Camunnia,Alps,Alps,7,Name Change,Mountains,Alpine,2,4,No port,No,River,No,OK,"Farm4, mountains, alpine, irrigation_river",,,,,,,
Saevatium-Laiancium,,,,Saevatia-Laiancia,,Alps,,7,Missing in Alt,Mountains,Alpine,0,2,No port,No,River,No,OK,"Farm2, mountains, alpine, irrigation_river",,,,,,,
ALPS-NORICUM,,,,,,,,,,,,,,,,,,,,,,,,,,
Noreia,Noreia,Germania,Lower Germania,Noricum,Noricum,Alps,Alps,7,,Mountain Valley,Continental,-1,5,No port,Yes,River,No,OK,"Farm5, mountain_valley, continental, rivertrade, irrigation_river",,,,,,,
Teurnia,Teurnia,Germania,Lower Germania,Ambidravia-Ambilicia,Ambidravia,Alps,Alps,7,New Name Change,Mountains,Alpine,0,2,No port,No,Springs,No,OK,"Farm2, mountains, alpine, irrigation_springs",,,,,,,
Bedacum,Bedacum,Germania,Lower Germania,Alaunia,Alaunia,Alps,Germania,9,Wrong Area,Mountain Valley,Continental,0,6,No port,No,River,Yes,OK,"Farm6, mountain_valley, continental, irrigation_river",,,,,,,
Tergeste,Tergeste,Illyria,Northern Illyria,Histria_Septentrionalis,Histria_Septentrionalis,Alps,Illyria,11,Wrong Area,Karst Terrain,Temperate,1,5,Shipwright,No,Springs,Yes,OK,"Farm5, karst_terrain, temperate, base_port_level_2, irrigation_springs",,,,,,,
Lentia,Lentia,Germania,Lower Germania,Noricum_Septentrionale,Anisia,Alps,Germania,9,Name Change,River Valley,Continental,-1,8,No port,Yes,River,No,OK,"Farm8, river_valley, continental, rivertrade, irrigation_river",,,,,,,
Gamavodurum,Gamavodurum,Germania,Lower Germania,Noricum_Occidentale,Noricum_Transmontanum,Alps,Germania,9,Name Change,Mountains,Continental,0,4,No port,No,Springs,No,OK,"Farm4, mountains, continental, irrigation_springs",,,,,,,
Carnium,Carnium,Germania,Lower Germania,Carnia,Carnia,Alps,Germania,9,Wrong Area,Mountain Valley,Continental,-1,5,No port,No,River,Yes,OK,"Farm5, mountain_valley, continental, irrigation_river",,,,,,,
Oppidum Catalorum,Oppidum Catalorum,Italy,North Italy,Catalia,Catalia,Alps,Cisalpine Gaul,6,Wrong Area,Mountain Valley,Temperate,-2,5,No port,Yes,River,No,OK,"Farm5, mountain_valley, temperate, rivertrade, irrigation_river",,,,,,,
Ambisontium,,,,Ambisontia,,Alps,,7,Missing in Alt,Mountains,Continental,0,4,No port,No,Springs,No,OK,"Farm4, mountains, continental, irrigation_springs",,,,,,,
CENTRAL EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,
Eburodunum-Boihaemum,Eburodunum-Boihaemum,Germania,Lower Germania,Boihaemum,Boihaemum,Central Europe,Central Europe,7,,Forest,Continental,0,5,No port,No,River,No,OK,"Farm5, forest, continental, irrigation_river",,,,,,,
Mediolanium,Mediolanium-Racataea,Germania,Lower Germania,Racataea-Racatriaea,Racataea,Central Europe,Germania,9,Name Change,Forest,Continental,2,7,No port,Yes,River,No,OK,"Farm7, forest, continental, rivertrade, irrigation_river",,,,,,,
Eburum,Eburum,Germania,Lower Germania,Hercynia,Hercynia,Central Europe,Germania,9,Wrong Area,Hills,Continental,-1,4,No port,No,River,No,OK,"Farm4, hills, continental, irrigation_river",,,,,,,
,Meliodunum,Germania,Lower Germania,,Boihaemum_Septentrionale,Central Europe,Central Europe,7,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Singone,Singone,Germania,Lower Germania,Boihaemum_Orientale,Boihaemum_Orientale,Central Europe,Germania,9,Wrong Area,Hills,Continental,-1,4,No port,No,River,No,OK,"Farm4, hills, continental, irrigation_river",,,,,,,
,Anduaetium,Germania,Lower Germania,,Racatriaea,Central Europe,Germania,7,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Budorgis,Budorgis,Germania,Central Germania,Teuriohaemum,Anartia_Ultima,Central Europe,Germania,9,Name Change,Forest,Continental,1,6,No port,Yes,River,No,OK,"Farm6, forest, continental, rivertrade, irrigation_river",,,,,,,
Anavum,Anavum,Germania,Lower Germania,Marsignia,Racatriaea_Orientalis,Central Europe,Germania,9,Name Change,Grassland,Continental,-1,7,No port,Yes,River,No,OK,"Farm7, grassland, continental, rivertrade, irrigation_river",,,,,,,
Parienna,Parienna,Germania,Lower Germania,Osia,Osia,Central Europe,Germania,9,Wrong Area,Mountains,Continental,0,4,No port,No,River,No,OK,"Farm4, mountains, continental, irrigation_river",,,,,,,
Asanca,Asanca,Germania,Lower Germania,Cotinia,Cotinia,Central Europe,Germania,9,Wrong Area,Hills,Continental,-1,4,No port,No,Springs,No,OK,"Farm4, hills, continental, irrigation_springs",,,,,,,
Menosgada,Menosgada,Germania,Central Germania,Volcaea,Volcaea_Occidentalis,Central Europe,Germania,9,Name Change,Forest,Continental,0,5,No port,Yes,River,No,OK,"Farm5, forest, continental, rivertrade, irrigation_river",or hills,,,,,,
,Segodunum-Helvetia,Germania,Lower Germania,,Helvetia_Vetus,Central Europe,Germania,7,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Melocabus,Melocabus,Germania,Central Germania,Usipetia_Vetus,Usipetia_Vetus,Central Europe,Germania,9,Wrong Area,Hills,Continental,-1,4,No port,Yes,River,No,OK,"Farm4, hills, continental, rivertrade, irrigation_river",,,,,,,
,Devona,Germania,Lower Germania,,Abnobaea,Central Europe,Germania,7,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Gravionarium,Gravionarium,Germania,Central Germania,Vangionia_Vetus,Vangionia_Vetus,Central Europe,Germania,9,Wrong Area,Hills,Continental,0,5,No port,No,Springs,No,OK,"Farm5, hills, continental, irrigation_springs",,,,,,,
,Volcaeum,Germania,Central Germania,,Volcaea,Central Europe,Central Europe,7,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Coridorgis,Coridorgis,Germania,Lower Germania,Volcaea_Orientalis,Volcaea_Orientalis,Central Europe,Central Europe,7,,Grassland,Continental,0,8,No port,Yes,River,No,OK,"Farm8, grassland, continental, rivertrade, irrigation_river",,,,,,,
Furgisatis,Furgisatis,Germania,Lower Germania,Boihaemum_Occidentale,Boihaemum_Occidentale,Central Europe,Central Europe,7,,Hills,Continental,1,6,No port,No,River,No,OK,"Farm6, hills, continental, irrigation_river",,,,,,,
Arctaunum,Arctaunum,Germania,Central Germania,Ubia_Vetus,Ubia_Vetus,Central Europe,Germania,9,Wrong Area,Forest,Continental,2,7,No port,No,River,No,OK,"Farm7, forest, continental, irrigation_river",,,,,,,
Locoritum,Locoritum,Germania,Central Germania,Nemetia_Vetus,Nemetia_Vetus,Central Europe,Germania,9,Wrong Area,Grassland,Continental,-2,6,No port,No,River,No,OK,"Farm6, grassland, continental, irrigation_river",,,,,,,
Riusiava,Riusiava,Germania,Lower Germania,Rauracia_Vetus,Rauracia_Vetus,Central Europe,Germania,9,Wrong Area,Karst Terrain,Continental,1,4,No port,No,No,No,OK,"Farm4, karst_terrain, continental",,,,,,,
Strevinta,,,,Volcaea_Septentrionalis,,Central Europe,,7,Missing in Alt,Hills,Continental,0,5,No port,No,River,No,OK,"Farm5, hills, continental, irrigation_river",,,,,,,
Helvetium,,,,Helvetia_Vetus,,Central Europe,,7,Missing in Alt,Forest,Continental,0,5,No port,No,River,No,OK,"Farm5, forest, continental, irrigation_river",,,,,,,
Bergium,,,,Triboccia_Vetus,,Central Europe,,7,Last Cut,,,,,,,,,,#N/A,,,,,,,
Tarodunum,Tarodunum,Gaul,East Gaul,Tigurinia-Tougenia,Tigurinia_Vetus,Central Europe,Gaul,5,Name Change,Hills,Temperate,1,7,No port,Yes,River,No,OK,"Farm7, hills, temperate, rivertrade, irrigation_river",,,,,,,
Alcimoennis,Alcimoennis,Germania,Lower Germania,Tulingia_Vetus,Danubia,Central Europe,Germania,9,Wrong Area,Forest,Continental,-1,4,No port,Yes,River,No,OK,"Farm4, forest, continental, rivertrade, irrigation_river",,,,,,,
Anartium,Anartium,Germania,Lower Germania,Anartia_Septentrionalis,Anartia_Septentrionalis,Central Europe,Germania,9,Wrong Area,Hills,Continental,-1,4,No port,No,River,No,OK,"Farm4, hills, continental, irrigation_river",,,,,,,
BRITANNIA&HIBERNIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrum Trinobantium,Camulodunum,Britannia,South England,Trinobantia,Trinobantia,Britannia,Britannia,8,Name Change,River Valley,Oceanic,-1,9,Shipwright,Yes,River,No,OK,"Farm9, river_valley, oceanic, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Dumnonium,Isca,Britannia,South England,Dumnonia_Meridionalis,Dumnonia_Meridionalis,Britannia,Britannia,8,Name Change,Hills,Oceanic,0,6,Shipwright,No,Springs,No,OK,"Farm6, hills, oceanic, base_port_level_2, irrigation_springs",,,,,,,
Castrum Demetarum,Moridunum,Britannia,Wales,Demetaea,Demetaea,Britannia,Britannia,8,Name Change,Hills,Oceanic,0,6,Dockyard,No,Springs,No,OK,"Farm6, hills, oceanic, base_port_level_3, irrigation_springs",,,,,,,
,Oppidum Brigantum,Britannia,Central England,,Brigantia_Meridionalis,Britannia,Britannia,8,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Castrum Caledoniorum,Castrum Caledoniorum,Britannia,Scotland,Caledonia,Caledonia,Britannia,Britannia,8,,Mountains,Continental,-1,3,Trade Port,No,Lake,No,OK,"Farm3, mountains, continental, base_port_level_1, irrigation_lake",,,,,,,
Oppidum Reginorum,Calleva,Britannia,South England,Regnia_Septentrionalis,Regnia_Septentrionalis,Britannia,Britannia,8,Name Change,Forest,Oceanic,0,6,No port,Yes,River,No,OK,"Farm6, forest, oceanic, rivertrade, irrigation_river",,,,,,,
Castrum Icenorum,Castrum Icenorum,Britannia,South England,Ecenia,Ecenians,Britannia,Britannia,8,Name Change,Wetlands/Swamps/Marshes,Oceanic,0,6,Shipwright,Yes,River,No,OK,"Farm6, wetlands, oceanic, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Catuvellaunium,Catuvellaunium,Britannia,South England,Catuvellaunia,Catuvellaunia,Britannia,Britannia,8,,Grassland,Oceanic,0,9,No port,Yes,River,No,OK,"Farm9, grassland, oceanic, rivertrade, irrigation_river",,,,,,,
Ratostabius,Ratostabius,Britannia,Wales,Siluria,Siluria,Britannia,Britannia,8,,Karst Terrain,Oceanic,1,5,Dockyard,No,River,No,OK,"Farm5, karst_terrain, oceanic, base_port_level_3, irrigation_river",,,,,,,
Bremenium,Bremenium,Britannia,North England,Otadinia,Otadinia,Britannia,Britannia,8,,Forest,Oceanic,1,7,Trade Port,No,River,No,OK,"Farm7, forest, oceanic, base_port_level_1, irrigation_river",,,,,,,
,Eblana,Britannia,Ireland,,Eblania,Britannia,Britannia,8,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Castrum Cornoviorum,Castrum Cornoviorum,Britannia,Central England,Cornovia,Cornovia,Britannia,Britannia,8,,Grassland,Oceanic,-1,8,Shipwright,Yes,River,No,OK,"Farm8, grassland, oceanic, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Castrum Ordovicum,Castrum Ordovicum,Britannia,Wales,Ordovicia,Ordovicia,Britannia,Britannia,8,,Mountains,Oceanic,0,5,Trade Port,No,River,No,OK,"Farm5, mountains, oceanic, base_port_level_1, irrigation_river",,,,,,,
Castrum Cantiacorum,Castrum Cantiacorum,Britannia,South England,Cantiacia,Cantiacia_Occidentalis,Britannia,Britannia,8,Name Change,Forest,Oceanic,0,6,Dockyard,No,Springs,No,OK,"Farm6, forest, oceanic, base_port_level_3, irrigation_springs",,,,,,,
,Corieltauvium,Britannia,Central England,,Corieltauvia_Centralis,Britannia,Britannia,8,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Castrum Dobunnorum,Dobunnium,Britannia,South England,Dobunnia,Dobunnia,Britannia,Britannia,8,Name Change,Forest,Oceanic,0,6,Trade Port,Yes,River,No,OK,"Farm6, forest, oceanic, base_port_level_1, rivertrade, irrigation_river",,,,,,,
Castrum Corieltauviorum,Castrum Corieltauviorum,Britannia,Central England,Corieltauvia,Corieltauvia,Britannia,Britannia,8,,River Valley,Oceanic,0,10,No port,No,River,No,OK,"Farm10, river_valley, oceanic, irrigation_river",,,,,,,
Castrum Durotrigorum,Castrum Durotrigorum,Britannia,South England,Durotrigia,Durotrigia_Occidentalis,Britannia,Britannia,8,Name Change,Grassland,Oceanic,0,9,Shipwright,No,River,No,OK,"Farm9, grassland, oceanic, base_port_level_2, irrigation_river",,,,,,,
Castrum Dumnoniorum,Castrum Dumnoniorum,Britannia,South England,Dumnonia,Dumnonia,Britannia,Britannia,8,,Hills,Oceanic,0,6,Trade Port,No,River,No,OK,"Farm6, hills, oceanic, base_port_level_1, irrigation_river",,,,,,,
Castrum Deceanglorum,Castrum Deceanglorum,Britannia,Wales,Deceanglia,Deceanglia,Britannia,Britannia,8,,Karst Terrain,Oceanic,1,5,Shipwright,Yes,River,No,OK,"Farm5, karst_terrain, oceanic, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Castrum Reginorum,Regnium,Britannia,South England,Regnia,Regnia,Britannia,Britannia,8,Name Change,Hills,Oceanic,1,7,Shipwright,Yes,River,No,OK,"Farm7, hills, oceanic, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Dunum,Dunum,Britannia,Ireland,Ivernia_Orientalis,Manapia_Occidentalis,Britannia,Britannia,8,Name Change,Grassland,Oceanic,-2,7,Shipwright,No,Lake,No,OK,"Farm7, grassland, oceanic, base_port_level_2, irrigation_lake",,,,,,,
Rhaeba,Rhaeba,Britannia,Ireland,Ivernia_Occidentalis,Rhobogdia,Britannia,Britannia,8,Name Change,Karst Terrain,Oceanic,0,4,Trade Port,No,Lake,No,OK,"Farm4, karst_terrain, oceanic, base_port_level_1, irrigation_lake",,,,,,,
,Magnata,Britannia,Ireland,,Magnatia,Britannia,Britannia,8,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Oppidum Otadinorum,Britannia,Scotland,,Otadinia_Occidentalis,Britannia,Britannia,8,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Silurium,Britannia,Wales,,Siluria_Occidentalis,Britannia,Britannia,8,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Ordovicum,Britannia,Wales,,Stuccia,Britannia,Britannia,8,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Castrum Otadinorum,,,,Otadinia_Septentrionalis,,Britannia,,8,Missing in Alt,Grassland,Oceanic,-2,7,Trade Port,No,River,No,OK,"Farm7, grassland, oceanic, base_port_level_1, irrigation_river",,,,,,,
Castrum Orcadum,Castrum Orcadum,Britannia,Scotland,Orcades,Orcades,Britannia,Britannia,8,,Small Islands/Rocky Coast,Oceanic,-1,4,Shipwright,No,Lake,No,OK,"Farm4, small_islands_and_rocky_coast, oceanic, base_port_level_2, irrigation_lake",,,,,,,
Castrum Haemodaeorum,,,,Haemodae,,Britannia,,8,Missing in Alt,Small Islands/Rocky Coast,Oceanic,-1,4,Trade Port,No,Springs,No,OK,"Farm4, small_islands_and_rocky_coast, oceanic, base_port_level_1, irrigation_springs",,,,,,,
Oppidum Catuvellaunorum,,,,Catuvellaunia_Orientalis,,Britannia,,8,Missing in Alt,Grassland,Oceanic,-2,7,No port,Yes,River,No,OK,"Farm7, grassland, oceanic, rivertrade, irrigation_river",,,,,,,
Oppidum Durotrigum,,,,Durotrigia_Orientalis,,Britannia,,8,Missing in Alt,Grassland,Oceanic,0,9,Dockyard,Yes,River,No,OK,"Farm9, grassland, oceanic, base_port_level_3, rivertrade, irrigation_river",,,,,,,
Durotrigium,Durotrigium,Britannia,South England,Durotrigia_Occiedentalis,Durotrigia,Britannia,Britannia,8,,Hills,Oceanic,2,8,Trade Port,No,River,No,OK,"Farm8, hills, oceanic, base_port_level_1, irrigation_river",,,,,,,
,Oppidum Durotrigorum,Britannia,South England,,Durotrigia_Septentrionalis,Britannia,Britannia,8,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Sorviodunum,Sorviodunum,Britannia,South England,Durotrigia_Centralis,Durotrigia_Centralis,Britannia,Britannia,8,,Grassland,Oceanic,1,10,No port,No,River,No,OK,"Farm10, grassland, oceanic, irrigation_river",,,,,,,
Oppidum Dumnoniorum,,,,Dumnonia_Occidentalis,,Britannia,,8,Missing in Alt,Small Islands/Rocky Coast,Oceanic,0,5,Trade Port,No,Springs,No,OK,"Farm5, small_islands_and_rocky_coast, oceanic, base_port_level_1, irrigation_springs",,,,,,,
,Voliba,Britannia,South England,,Dumnonia_Septentrionalis,Britannia,Britannia,8,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Oppidum Silurum,Oppidum Silurum,Britannia,Wales,Siluria_Orientalis,Siluria_Orientalis,Britannia,Britannia,8,,Forest,Oceanic,0,6,No port,Yes,River,No,OK,"Farm6, forest, oceanic, rivertrade, irrigation_river",,,,,,,
Regia,Regia,Britannia,Ireland,Voluntia,Voluntia,Britannia,Britannia,8,,Small Islands/Rocky Coast,Oceanic,-1,4,Shipwright,No,Lake,No,OK,"Farm4, small_islands_and_rocky_coast, oceanic, base_port_level_2, irrigation_lake",,,,,,,
Castrum Damnoniorum,Alauna,Britannia,Scotland,Damnonia,Damnonia,Britannia,Britannia,8,Name Change,Mountain Valley,Oceanic,-1,6,Trade Port,No,River,No,OK,"Farm6, mountain_valley, oceanic, base_port_level_1, irrigation_river",,,,,,,
Castrum Novantarum,Castrum Selgovarum,Britannia,North England,Novantaea-Selgovaea,Selgovaea,Britannia,Britannia,8,Name Change,Small Islands/Rocky Coast,Oceanic,0,5,Trade Port,No,River,No,OK,"Farm5, small_islands_and_rocky_coast, oceanic, base_port_level_1, irrigation_river",,,,,,,
Castrum Epidiorum,,,,Epidia,,Britannia,,8,Missing in Alt,Small Islands/Rocky Coast,Oceanic,-2,3,Trade Port,No,No,No,OK,"Farm3, small_islands_and_rocky_coast, oceanic, base_port_level_1",,,,,,,
Castrum Taexalorum,Castrum Taexalorum,Britannia,Scotland,Taexalia,Taexalia,Britannia,Britannia,8,,Hills,Oceanic,0,6,Trade Port,No,River,No,OK,"Farm6, hills, oceanic, base_port_level_1, irrigation_river",,,,,,,
Castrum Cornaviorum,,,,Cornavia,,Britannia,,8,Missing in Alt,Small Islands/Rocky Coast,Oceanic,0,5,Trade Port,No,Springs,No,OK,"Farm5, small_islands_and_rocky_coast, oceanic, base_port_level_1, irrigation_springs",,,,,,,
Castrum Lugiorum,Castrum Lugiorum,Britannia,Scotland,Lugia-Decantaea,Lugia,Britannia,Britannia,8,Name Change,Wetlands/Swamps/Marshes,Oceanic,-2,4,Shipwright,No,Lake,No,OK,"Farm4, wetlands, oceanic, base_port_level_2, irrigation_lake",,,,,,,
Castrum Carnonacarum,,,,Carnonacaea-Ceronia,,Britannia,,8,Missing in Alt,Mountains,Continental,-2,2,Shipwright,No,Springs,No,OK,"Farm2, mountains, continental, base_port_level_2, irrigation_springs",,,,,,,
